external_id,image_path,Open Water,Floating Vegetation,Reedlands & Permanent Swamps,Tall Seasonal Sedge Wetlands,Short Seasonal Grass Floodplains,Riparian Forest,Woodlands,Bare Ground / Dry Grass,Shrubland,[Lvl 2] Water Lily,[Lvl 2] Rafts,[Lvl 2] Salvinia / Other Fern,[Lvl 2] Papyrus,[Lvl 2] Phragmites / Miscanthus
IMG_20230729_092645_00_101_right.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_101_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_109_left.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_109_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_201_left.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_201_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_218_right.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_218_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_284_left.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_284_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1
IMG_20230729_092645_00_374_right.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_374_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_383_right.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_383_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_458_right.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_458_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_479_left.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_479_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_498_right.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_498_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_595_left.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_595_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_698_left.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_698_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230729_092645_00_820_right.jpg,ALL_SPLIT_IMAGES\IMG_20230729_092645_00_820_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230730_082746_00_156_right.jpg,ALL_SPLIT_IMAGES\IMG_20230730_082746_00_156_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230730_095240_00_274_right.jpg,ALL_SPLIT_IMAGES\IMG_20230730_095240_00_274_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0
IMG_20230730_095240_00_452_left.jpg,ALL_SPLIT_IMAGES\IMG_20230730_095240_00_452_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230730_095240_00_528_left.jpg,ALL_SPLIT_IMAGES\IMG_20230730_095240_00_528_left.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
IMG_20230730_095240_00_629_right.jpg,ALL_SPLIT_IMAGES\IMG_20230730_095240_00_629_right.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IMG_20230730_095240_00_849_right.jpg,ALL_SPLIT_IMAGES\IMG_20230730_095240_00_849_right.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IMG_20230731_082119_00_101_left.jpg,ALL_SPLIT_IMAGES\IMG_20230731_082119_00_101_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0
IMG_20230731_082119_00_525_left.jpg,ALL_SPLIT_IMAGES\IMG_20230731_082119_00_525_left.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230731_082119_00_701_right.jpg,ALL_SPLIT_IMAGES\IMG_20230731_082119_00_701_right.jpg,0,0,1,0,0,0,0,0,0,1,0,0,1,0
IMG_20230731_090345_00_051_right.jpg,ALL_SPLIT_IMAGES\IMG_20230731_090345_00_051_right.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IMG_20230731_090345_00_154_right.jpg,ALL_SPLIT_IMAGES\IMG_20230731_090345_00_154_right.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IMG_20230731_090345_00_242_right.jpg,ALL_SPLIT_IMAGES\IMG_20230731_090345_00_242_right.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0
IMG_20230731_090345_00_270_right.jpg,ALL_SPLIT_IMAGES\IMG_20230731_090345_00_270_right.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IMG_20230731_090345_00_295_right.jpg,ALL_SPLIT_IMAGES\IMG_20230731_090345_00_295_right.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IMG_20230731_090345_00_297_right.jpg,ALL_SPLIT_IMAGES\IMG_20230731_090345_00_297_right.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IMG_20230731_090345_00_341_left.jpg,ALL_SPLIT_IMAGES\IMG_20230731_090345_00_341_left.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IMG_20230801_084044_00_120_left.jpg,ALL_SPLIT_IMAGES\IMG_20230801_084044_00_120_left.jpg,0,0,0,1,0,0,0,0,0,1,0,0,0,0
IMG_20230801_105724_00_876_right.jpg,ALL_SPLIT_IMAGES\IMG_20230801_105724_00_876_right.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IMG_20230801_115532_00_257_left.jpg,ALL_SPLIT_IMAGES\IMG_20230801_115532_00_257_left.jpg,0,0,0,0,1,0,0,0,0,1,1,0,0,0
IMG_20230801_115532_00_272_right.jpg,ALL_SPLIT_IMAGES\IMG_20230801_115532_00_272_right.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1
IMG_20230802_084912_00_038_left.jpg,ALL_SPLIT_IMAGES\IMG_20230802_084912_00_038_left.jpg,0,0,0,0,1,0,0,0,0,1,0,0,0,0
IMG_20230802_084912_00_171_right.jpg,ALL_SPLIT_IMAGES\IMG_20230802_084912_00_171_right.jpg,0,0,0,0,1,0,0,0,0,1,0,0,0,0
IMG_20230802_085359_00_454_left.jpg,ALL_SPLIT_IMAGES\IMG_20230802_085359_00_454_left.jpg,0,0,0,1,0,0,0,0,0,1,1,0,0,1
IMG_20230802_085359_00_507_left.jpg,ALL_SPLIT_IMAGES\IMG_20230802_085359_00_507_left.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
